Annual Card Turnover,Average Transaction Amount,Is Registered,Accepts Card,Mastercard Debit,MCC Category,Total Annual Transaction Fees,Current Provider Grouped
50000,100,Yes,No, 0.6% + 2p,Retail Outlet Services,329.50000000000006,Other
5000,25,No,Yes, 0.8% + 2p,Miscellaneous Stores,45.800000000000004,Other
600000,60,Yes,Yes, 0.35% + 2p,Professional Services and Membership Organizations,2569.9999999999995,Other
4000,20,No,No, 0.8% + 2p,Miscellaneous Stores,37.44,Other
55000,8000,Yes,No, 0.5% + 3p,Retail Outlet Services,324.70625,Other
2000,15,No,No, 1.75% + 0p,Clothing Stores,35.00000000000001,Other
500,10,No,Yes, 1.5% + 0p,Business Services,7.499999999999999,Other
40000,75,Yes,No, 0.49% + 2.5p,Business Services,249.4666666666667,Other
400000,50,No,No, 0.4% + 2p,Miscellaneous Stores,1940.0,Other
50000,40,No,No, 1.69% + 0p,Miscellaneous Stores,844.9999999999999,Other
100,20,No,No, 1.69% + 0p,Retail Outlet Services,1.69,Other
500000,300,No,Yes, 0.4% + 2p,Miscellaneous Stores,2258.3333333333335,Other
85000,100,No,Yes, 1.5% + 0p,Miscellaneous Stores,1275.0,Other
2000,10,No,No, 1.5% + 0p,Miscellaneous Stores,29.999999999999996,Other
50000,300,Yes,No, 0.6% + 2p,Miscellaneous Stores,322.83333333333337,Other
324000,500,Yes,Yes, 0.42% + 2p,Retail Outlet Services,1516.32,Other
70000,20,No,No, 1.69% + 0p,Miscellaneous Stores,1183.0,Other
250000,20,Yes,Yes, 0.45% + 2p,Miscellaneous Stores,1480.0000000000002,Other
500000,10,Yes,Yes, 0.42% + 2.5p,Miscellaneous Stores,4802.0,Other
60000,600,No,Yes, 0.8% + 2p,Clothing Stores,503.6000000000001,Other
100000,10,Yes,Yes, 0.42% + 3p,Business Services,783.8,Other
50000,30,Yes,Yes, 1.75% + 0p,Professional Services and Membership Organizations,875.0000000000001,Other
400000,10,Yes,No, 0.4% + 2p,Miscellaneous Stores,2580.0,Other
520000,26,Yes,Yes, 0.35% + 2p,Retail Outlet Services,2454.0,Other
25000,110,Yes,No, 1% + 0p,Business Services,250.0,Other
200,5,No,No, 1.75% + 0p,Professional Services and Membership Organizations,3.5000000000000004,Other
10000,95,No,No, 0.8% + 2p,Professional Services and Membership Organizations,85.70526315789475,Other
8000,12,No,No, 0.8% + 2p,Transportation Services,80.21333333333332,Other
50000,100,No,No, 0.6% + 2p,Miscellaneous Stores,329.50000000000006,Other
38000,40,Yes,Yes, 0.49% + 2.5p,Miscellaneous Stores,259.15999999999997,Other
30000,3,No,Yes, 1.5% + 0p,Retail Outlet Services,450.0,Other
100000,15,No,No, 1.69% + 0p,Miscellaneous Stores,1689.9999999999998,Other
20000,2000,Yes,No, 1.69% + 0p,Miscellaneous Stores,337.99999999999994,Other
200000,10,No,Yes, 0.45% + 2p,Retail Outlet Services,1392.0000000000002,Other
100000,100,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,487.20000000000005,Other
15000,15,No,No, 0.8% + 2p,Miscellaneous Stores,145.40000000000003,Other
100000,500,Yes,Yes, 1.75% + 0p,Professional Services and Membership Organizations,1750.0000000000002,Other
40000,7,No,Yes, 0.49% + 2.5p,Miscellaneous Stores,508.51428571428573,Other
50000,5,Yes,Yes, 0.6% + 2p,Miscellaneous Stores,519.5,Other
65000,10,No,Yes, 0.5% + 3p,Transportation Services,578.5,Other
1000,10,No,No, 1.69% + 0p,Retail Outlet Services,16.9,Other
20000,500,Yes,No, 0.49% + 2.5p,Retail Outlet Services,113.4,Other
60000,70,Yes,Yes, 0.5% + 3p,Professional Services and Membership Organizations,379.7142857142857,Other
3000,100,No,Yes, 1.69% + 0p,Agricultural Services,50.699999999999996,Other
450000,30,No,No, 1.75% + 0p,Miscellaneous Stores,7875.0,Other
5000,12,No,No, 1.5% + 0p,Miscellaneous Stores,75.0,Other
100000,45,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,523.8666666666667,Other
1000,15,No,No, 0.8% + 2p,Miscellaneous Stores,9.693333333333333,Other
350000,12,Yes,No, 0.42% + 2p,Miscellaneous Stores,2207.3333333333335,Other
5000,12,No,Yes, 0.8% + 2p,Transportation Services,50.13333333333334,Other
30000,120,No,No, 0.49% + 2.5p,Contracted Services,179.6,Other
30000,30,No,No, 0.49% + 2.5p,Miscellaneous Stores,217.1,Other
187500,1200,Yes,Yes, 0.4% + 3p,Retail Outlet Services,852.1875,Other
10000,500,No,Yes, 1% + 0p,Retail Outlet Services,100.0,Other
20000,5,Yes,No, 1.69% + 0p,Professional Services and Membership Organizations,337.99999999999994,Other
350000,30,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1950.2,Other
200000,125,Yes,Yes, 0.4% + 2.5p,Business Services,1008.8,Other
40000,180,No,Yes, 0.8% + 2p,Miscellaneous Stores,338.8444444444445,Other
50000,100,Yes,Yes, 0.49% + 2.5p,Miscellaneous Stores,303.5,Other
50000,15,No,No, 0.65% + 2p,Miscellaneous Stores,415.1666666666667,Other
30000,6,Yes,No, 1.5% + 0p,Retail Outlet Services,450.0,Other
100000,2500,No,Yes, 0.55% + 2p,Transportation Services,592.8000000000001,Other
1000,5,No,No, 1.75% + 0p,Business Services,17.500000000000004,Other
150000,15,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,1196.6,Other
125000,500,Yes,Yes, 0.5% + 2p,Professional Services and Membership Organizations,682.5,Other
25000,30,No,No, 1.75% + 0p,Miscellaneous Stores,437.50000000000006,Other
200000,50,Yes,No, 0.39% + 3p,Professional Services and Membership Organizations,1034.4,Other
60000,50,No,Yes, 0.8% + 2p,Miscellaneous Stores,525.6000000000001,Other
260000,30,No,Yes, 0.4% + 3p,Miscellaneous Stores,1435.2,Other
50000,150,Yes,Yes, 0.8% + 2p,Miscellaneous Stores,424.66666666666674,Other
80000,15,No,Yes, 0.49% + 2.5p,Miscellaneous Stores,712.2666666666667,Other
80000,15,Yes,No, 0.8% + 2p,Miscellaneous Stores,775.4666666666667,Other
40000,55,Yes,Yes, 0.8% + 2p,Retail Outlet Services,348.9454545454546,Other
500,25,No,No, 1.75% + 0p,Business Services,8.750000000000002,Other
200000,2500,Yes,No, 0.42% + 3p,Contracted Services,969.9999999999998,Other
42300,90,No,Yes, 1.69% + 0p,Miscellaneous Stores,714.8699999999999,Other
400000,850,Yes,No, 0.99% + 0p,Business Services,4039.9999999999995,Other
500000,15,No,No, 0.4% + 3p,Miscellaneous Stores,3260.0,Other
854000,30,Yes,Yes, 0.42% + 2.5p,Miscellaneous Stores,5355.149333333333,Other
300000,15,Yes,Yes, 0.42% + 2p,Miscellaneous Stores,1791.9999999999998,Other
40000,10000,Yes,Yes, 0.8% + 2p,Contracted Services,334.48,Other
120000,65,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,649.5876923076924,Other
1250000,30,Yes,Yes, 0.28% + 2p,Retail Outlet Services,4933.333333333333,Other
4000,35,Yes,No, 1.69% + 0p,Business Services,67.6,Other
50000,100,No,No, 0.49% + 2.5p,Retail Outlet Services,303.5,Other
240000,5,Yes,No, 0.5% + 2p,Miscellaneous Stores,2270.3999999999996,Other
2000,40,Yes,Yes, 1.75% + 0p,Professional Services and Membership Organizations,35.00000000000001,Other
80000,37,No,Yes, 0.55% + 2p,Professional Services and Membership Organizations,516.8432432432433,Other
200,200,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,3.38,Other
180000,20,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,1285.92,Other
160000,10,Yes,No, 0.5% + 2p,Miscellaneous Stores,1200.0,Other
450000,30,No,No, 0.4% + 2p,Retail Outlet Services,2302.5,Other
180000,165,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,890.4654545454546,Other
2000,15,Yes,No, 1.75% + 0p,Miscellaneous Stores,35.00000000000001,Other
1500,12,No,No, 1.5% + 0p,Miscellaneous Stores,22.499999999999996,Other
50000,10,No,No, 0.65% + 2p,Retail Outlet Services,448.5,Other
420000,400,Yes,No, 0.4% + 2p,Business Services,1890.0000000000002,Other
1000,25,No,No, 1.69% + 0p,Transportation Services,16.9,Other
12000,5,Yes,Yes, 0.8% + 2p,Professional Services and Membership Organizations,148.32000000000002,Other
100000,30,No,No, 0.8% + 2p,Miscellaneous Stores,902.6666666666667,Other
1000000,100,Yes,Yes, 1.69% + 0p,Clothing Stores,16900.0,Other
300000,450,Yes,Yes, 0.42% + 2p,Retail Outlet Services,1405.333333333333,Other
55000,10,No,No, 0.65% + 2p,Transportation Services,493.35,Other
100000,15,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,657.2,Other
320000,20,Yes,Yes, 0.42% + 2p,Miscellaneous Stores,1804.8,Other
15000,150,Yes,No, 0.75% + 2p,Miscellaneous Stores,121.39999999999999,Other
90000,30,Yes,Yes, 0.42% + 3p,Miscellaneous Stores,525.42,Other
30000,12,Yes,Yes, 0.5% + 3p,Business Services,252.0,Other
149000,200,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,729.206,Other
1000000,15,Yes,Yes, 0.28% + 2p,Retail Outlet Services,4613.333333333334,Other
22000,30,No,No, 0.8% + 2p,Miscellaneous Stores,198.58666666666667,Other
20000,10000,Yes,No, 1.39% + 3p,Retail Outlet Services,280.46,Other
90000,5,No,Yes, 0.55% + 2p,Retail Outlet Services,892.8000000000001,Other
80000,20,No,Yes, 0.6% + 2p,Business Services,596.8,Other
250000,15,Yes,Yes, 0.45% + 2p,Miscellaneous Stores,1563.3333333333335,Other
50000,20,No,No, 0.65% + 2p,Miscellaneous Stores,398.5,Other
20000,20,No,No, 0.8% + 2p,Miscellaneous Stores,187.20000000000002,Other
580000,20,No,Yes, 0.35% + 2p,Miscellaneous Stores,2871.0,Other
100000,1,Yes,Yes, 0.42% + 3p,Miscellaneous Stores,3483.7999999999997,Other
325000,500,Yes,Yes, 0.43% + 2.5p,Miscellaneous Stores,1571.0500000000002,Other
135000,10,Yes,Yes, 0.4% + 3p,Miscellaneous Stores,1055.7,Other
72000,15,No,Yes, 0.55% + 2p,Miscellaneous Stores,522.24,Other
400000,50,No,No, 0.4% + 2p,Miscellaneous Stores,1940.0,Other
178000,16,No,Yes, 0.55% + 2p,Miscellaneous Stores,1276.2600000000002,Other
600000,200,Yes,Yes, 0.35% + 2p,Business Services,2429.9999999999995,Other
125000,4000,Yes,Yes, 0.5% + 2p,Miscellaneous Stores,678.125,Other
1000,200,No,No, 1.69% + 0p,Miscellaneous Stores,16.9,Other
30000,60,Yes,No, 1.69% + 0p,Business Services,506.99999999999994,Other
320000,20,Yes,Yes, 0.42% + 2p,Miscellaneous Stores,1804.8,Other
250000,14,No,No, 1.5% + 0p,Miscellaneous Stores,3750.0,Other
200000,200,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,944.4000000000001,Other
340000,12,Yes,No, 0.39% + 3p,Miscellaneous Stores,2404.48,Other
25000,15,No,No, 1.69% + 0p,Miscellaneous Stores,422.49999999999994,Other
70000,9,Yes,Yes, 0.6% + 2p,Miscellaneous Stores,602.8555555555556,Other
120000,150,Yes,No, 1.2% + 0p,Retail Outlet Services,1464.0000000000002,Other
200000,750,Yes,Yes, 0.45% + 2p,Retail Outlet Services,997.3333333333336,Other
128000,18,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,949.9875555555554,Other
50000,15,Yes,No, 0.65% + 2p,Miscellaneous Stores,415.1666666666667,Other
1240000,22,Yes,No, 0.41% + 2.5p,Miscellaneous Stores,8385.781818181818,Other
50000,20,Yes,No, 0.65% + 2p,Miscellaneous Stores,398.5,Other
4752,12,Yes,No, 1.75% + 0p,Business Services,83.16000000000001,Other
80000,100,No,No, 0.49% + 2.5p,Miscellaneous Stores,485.6,Other
300000,5,Yes,Yes, 0.42% + 2p,Miscellaneous Stores,2592.0,Other
200000,15,No,No, 0.5% + 2p,Miscellaneous Stores,1366.6666666666667,Other
170000,100,Yes,Yes, 0.4% + 2.5p,Clothing Stores,874.48,Other
10000,10,Yes,No, 1.69% + 0p,Business Services,168.99999999999997,Other
24000,5,No,Yes, 1% + 0p,Transportation Services,240.00000000000003,Other
60000,20,No,No, 0.6% + 2p,Miscellaneous Stores,443.40000000000003,Other
200000,20,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,1428.8,Other
200000,350,Yes,Yes, 0.85% + 2p,Retail Outlet Services,1807.4285714285713,Other
200000,500,No,Yes, 0.4% + 2.5p,Professional Services and Membership Organizations,948.8,Other
120000,15,No,No, 0.55% + 2p,Miscellaneous Stores,870.4000000000001,Other
75000,15,No,Yes, 0.55% + 2p,Miscellaneous Stores,544.0,Other
4000,25,No,Yes, 0.8% + 2p,Miscellaneous Stores,36.64,Other
650000,150,Yes,Yes, 0.35% + 2p,Professional Services and Membership Organizations,2654.1666666666665,Other
300000,13,No,Yes, 0.42% + 2p,Retail Outlet Services,1853.5384615384614,Other
100000,15,Yes,Yes, 0.4% + 2.5p,Retail Outlet Services,797.7333333333333,Other
15000,5,No,Yes, 1.69% + 0p,Miscellaneous Stores,253.49999999999997,Other
50000,10,Yes,No, 0.49% + 2.5p,Miscellaneous Stores,528.5,Other
180000,20,Yes,Yes, 0.39% + 3p,Retail Outlet Services,1092.96,Other
20000,20,No,No, 1.69% + 0p,Miscellaneous Stores,337.99999999999994,Other
1000,40,No,No, 1.69% + 0p,Professional Services and Membership Organizations,16.9,Other
70000,30,Yes,Yes, 0.39% + 3p,Professional Services and Membership Organizations,390.04,Other
400000,150,Yes,Yes, 0.4% + 2p,Business Services,1833.3333333333333,Other
300000,20,Yes,Yes, 0.4% + 3p,Miscellaneous Stores,1806.0,Other
550000,20,No,No, 0.35% + 2p,Miscellaneous Stores,2722.5,Other
200000,60,Yes,Yes, 0.42% + 3p,Business Services,1067.6,Other
20000,75,Yes,No, 1.69% + 0p,Professional Services and Membership Organizations,337.99999999999994,Other
150000,300,Yes,No, 0.42% + 3p,Miscellaneous Stores,740.7,Other
20000,14,No,No, 0.8% + 2p,Miscellaneous Stores,195.7714285714286,Other
100000,15,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,797.7333333333333,Other
5000,4,No,No, 1.75% + 0p,Miscellaneous Stores,87.50000000000001,Other
50000,31,Yes,No, 0.6% + 2p,Miscellaneous Stores,351.7580645161291,Other
2400000,9000,Yes,Yes, 0.41% + 2.5p,Retail Outlet Services,10789.333333333334,Other
2000,10,No,Yes, 0.8% + 2p,Business Services,20.72,Other
15000,40,No,No, 0.8% + 2p,Agricultural Services,132.90000000000003,Other
200000,3000,Yes,No, 0.45% + 2p,Retail Outlet Services,993.3333333333336,Other
1000,10,No,No, 1.69% + 0p,Miscellaneous Stores,16.9,Other
750000,100,Yes,Yes, 0.3% + 2p,Miscellaneous Stores,2805.0,Other
280000,20,No,No, 0.45% + 2p,Miscellaneous Stores,1657.6000000000001,Other
250000,2500,No,No, 0.99% + 0p,Retail Outlet Services,2524.9999999999995,Other
18000,52,Yes,Yes, 1% + 0p,Miscellaneous Stores,179.99999999999997,Other
80000,15,Yes,No, 0.39% + 3p,Miscellaneous Stores,525.76,Other
4000,35,No,No, 1.75% + 0p,Business Services,70.00000000000001,Other
75000,75,No,No, 0.8% + 2p,Miscellaneous Stores,646.9999999999999,Other
250000,25,No,No, 0.45% + 2p,Miscellaneous Stores,1430.0000000000002,Other
100000,110,Yes,No, 0.39% + 3p,Professional Services and Membership Organizations,484.4727272727273,Other
2000,2,No,No, 1.69% + 0p,Transportation Services,33.8,Other
20000,450,Yes,Yes, 1.5% + 0p,Business Services,300.0,Other
230000,60,No,Yes, 0.4% + 3p,Miscellaneous Stores,1223.6000000000001,Other
50000,1000,Yes,No, 0.8% + 2p,Contracted Services,419.00000000000006,Other
80000,50,Yes,No, 0.6% + 2p,Miscellaneous Stores,548.8,Other
100000,96,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,516.4833333333333,Other
50000,100,Yes,No, 0.65% + 2p,Miscellaneous Stores,358.5,Other
75000,10,Yes,Yes, 0.42% + 3p,Miscellaneous Stores,587.85,Other
40000,150,No,Yes, 0.49% + 2.5p,Business Services,236.13333333333335,Other
25000,400,No,No, 0.8% + 2p,Miscellaneous Stores,210.25000000000003,Other
180000,20,No,No, 0.45% + 2p,Retail Outlet Services,1072.8000000000002,Other
300000,260,Yes,Yes, 0.42% + 2p,Retail Outlet Services,1415.0769230769229,Other
130000,50,Yes,Yes, 0.42% + 3p,Miscellaneous Stores,706.9399999999999,Other
25000,17,Yes,No, 1.5% + 0p,Miscellaneous Stores,375.0,Other
12000,15,No,No, 0.8% + 2p,Miscellaneous Stores,116.32000000000002,Other
150000,12,Yes,No, 0.4% + 2.5p,Miscellaneous Stores,1321.6,Other
50000,2000,No,No, 1.69% + 0p,Agricultural Services,844.9999999999999,Other
550000,10157,Yes,Yes, 0.4% + 3p,Agricultural Services,2487.6244954218764,Other
60000,30,No,Yes, 0.65% + 2p,Miscellaneous Stores,458.2,Other
220000,5,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,3221.6800000000003,Other
10000,12,No,No, 1.69% + 0p,Miscellaneous Stores,168.99999999999997,Other
80000,340,No,Yes, 1.69% + 0p,Business Services,1351.9999999999998,Other
40000,35,Yes,Yes, 1.5% + 0p,Clothing Stores,600.0,Other
100000,50,Yes,Yes, 0.6% + 2p,Miscellaneous Stores,686.0,Other
5000,5,No,No, 1.69% + 0p,Retail Outlet Services,84.49999999999999,Other
150000,1500,No,No, 0.8% + 2p,Transportation Services,1255.9999999999998,Other
5000,1500,No,No, 0.8% + 2p,Business Services,41.866666666666674,Other
1000000,150,Yes,Yes, 1.5% + 0p,Miscellaneous Stores,15000.0,Other
50000,15,No,No, 1.69% + 0p,Miscellaneous Stores,844.9999999999999,Other
40000,16,No,Yes, 1% + 0p,Miscellaneous Stores,400.0,Other
10000,10,No,No, 0.85% + 2p,Retail Outlet Services,109.8,Other
15000,45,Yes,Yes, 1.75% + 0p,Professional Services and Membership Organizations,262.5,Other
40000,8,No,No, 0.49% + 2.5p,Business Services,472.8,Other
40000,200,No,Yes, 1.5% + 0p,Miscellaneous Stores,600.0,Other
100,15,No,No, 1.5% + 0p,Retail Outlet Services,1.5000000000000002,Other
20000,35,Yes,Yes, 1.5% + 0p,Professional Services and Membership Organizations,300.0,Other
40000,20,Yes,Yes, 1% + 0p,Retail Outlet Services,400.0,Other
1200000,2000,Yes,Yes, 0.28% + 2p,Miscellaneous Stores,3948.0,Other
20000,100,Yes,Yes, 0.75% + 2p,Retail Outlet Services,163.2,Other
67000,100,No,No, 0.65% + 2p,Miscellaneous Stores,480.39,Other
50000,20,Yes,No, 0.65% + 2p,Miscellaneous Stores,398.5,Other
12000,200,No,No, 1.5% + 0p,Agricultural Services,179.99999999999997,Other
5000,500,No,No, 0.8% + 2p,Miscellaneous Stores,42.00000000000001,Other
5000,50,No,No, 0.8% + 2p,Agricultural Services,43.800000000000004,Other
15000,35,No,No, 1.69% + 0p,Professional Services and Membership Organizations,253.49999999999997,Other
1100000,9,Yes,Yes, 0.28% + 2p,Business Services,6052.444444444445,Other
200000,20,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1214.4,Other
25000,30,No,No, 1% + 0p,Transportation Services,250.0,Other
60000,20,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,364.32000000000005,Other
45000,35,No,Yes, 0.8% + 2p,Miscellaneous Stores,401.9142857142857,Other
6000000,40,Yes,Yes, 0.27% + 2p,Professional Services and Membership Organizations,21360.0,Other
100000,48,Yes,Yes, 0.6% + 2p,Professional Services and Membership Organizations,687.6666666666666,Other
300000,14,Yes,Yes, 0.42% + 2p,Miscellaneous Stores,1820.5714285714284,Other
25000,450,Yes,No, 1.75% + 0p,Transportation Services,437.50000000000006,Other
40000,150,Yes,No, 1.5% + 0p,Miscellaneous Stores,600.0,Other
200000,60,No,No, 0.4% + 2.5p,Miscellaneous Stores,1095.4666666666667,Other
2000,15,No,No, 1.69% + 0p,Miscellaneous Stores,33.8,Other
5000,100,Yes,No, 1.5% + 0p,Utility Services,75.0,Other
800,3,No,No, 1.69% + 0p,Business Services,13.52,Other
1000000,76,Yes,Yes, 0.4% + 3p,Miscellaneous Stores,4914.736842105263,Other
1000000,50,Yes,Yes, 0.28% + 2p,Retail Outlet Services,3680.0,Other
150000,35,Yes,No, 0.4% + 2.5p,Miscellaneous Stores,910.8857142857141,Other
5000,30,No,No, 1.69% + 0p,Contracted Services,84.49999999999999,Other
600000,16,Yes,Yes, 0.35% + 2p,Retail Outlet Services,3119.9999999999995,Other
360000,10,Yes,Yes, 0.42% + 2p,Retail Outlet Services,2390.3999999999996,Other
80000,30,Yes,Yes, 0.55% + 2p,Miscellaneous Stores,526.9333333333334,Other
850000,18,Yes,No, 0.3% + 2p,Miscellaneous Stores,3953.4444444444443,Other
30000,40,No,Yes, 1.69% + 0p,Professional Services and Membership Organizations,506.99999999999994,Other
1600000,16,Yes,Yes, 0.28% + 2p,Miscellaneous Stores,7248.0,Other
45000,80,No,Yes, 0.5% + 3p,Business Services,282.375,Other
150000,4000,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,698.4749999999999,Other
5000,20,No,No, 1.75% + 0p,Professional Services and Membership Organizations,87.50000000000001,Other
200000,20,No,No, 0.4% + 2.5p,Contracted Services,1428.8,Other
200000,20,Yes,No, 0.39% + 3p,Miscellaneous Stores,1214.4,Other
50000,50,No,No, 0.65% + 2p,Miscellaneous Stores,368.5,Other
12000,20,Yes,Yes, 0.8% + 2p,Miscellaneous Stores,112.32000000000002,Other
12000,350,Yes,No, 1.69% + 0p,Miscellaneous Stores,202.79999999999998,Other
60000,4000,Yes,Yes, 0.6% + 2p,Agricultural Services,383.70000000000005,Other
3000,35,No,No, 1.69% + 0p,Professional Services and Membership Organizations,50.699999999999996,Other
1000,40,No,No, 0.8% + 2p,Miscellaneous Stores,8.86,Other
10000,150,No,No, 1.69% + 0p,Business Services,168.99999999999997,Other
30000,20,No,No, 1.5% + 0p,Miscellaneous Stores,450.0,Other
5000,20,No,No, 1.69% + 0p,Miscellaneous Stores,84.49999999999999,Other
12000,35,No,No, 1.69% + 0p,Miscellaneous Stores,202.79999999999998,Other
100000,15,No,No, 1.75% + 0p,Miscellaneous Stores,1750.0000000000002,Other
900000,300,Yes,No, 1.5% + 0p,Miscellaneous Stores,13500.0,Other
8000,150,No,No, 0.8% + 2p,Miscellaneous Stores,67.94666666666666,Other
22000,65,No,Yes, 1% + 0p,Professional Services and Membership Organizations,220.0,Other
120000,15,No,Yes, 0.4% + 2.5p,Retail Outlet Services,957.28,Other
7500,10,No,No, 0.8% + 2p,Miscellaneous Stores,77.70000000000002,Other
30000,10000,Yes,No, 1.5% + 0p,Contracted Services,450.0,Other
40000,150,Yes,Yes, 0.49% + 2.5p,Miscellaneous Stores,236.13333333333335,Other
180000,55,No,Yes, 0.4% + 2.5p,Miscellaneous Stores,999.5563636363637,Other
4000,4,No,No, 1.75% + 0p,Business Services,70.00000000000001,Other
12000,55,Yes,No, 1.69% + 0p,Business Services,202.79999999999998,Other
1300000,120,Yes,Yes, 0.4% + 3p,Agricultural Services,6201.0,Other
1000000,75,Yes,Yes, 0.28% + 2p,Miscellaneous Stores,3546.6666666666665,Other
3000,38,No,Yes, 0.8% + 2p,Professional Services and Membership Organizations,26.658947368421057,Other
480000,20,Yes,No, 0.4% + 2.5p,Retail Outlet Services,3429.12,Other
200000,100,Yes,No, 1% + 0p,Retail Outlet Services,2000.0,Other
300000,200,Yes,Yes, 0.42% + 2p,Business Services,1421.9999999999998,Other
20000,20,Yes,No, 1.5% + 0p,Professional Services and Membership Organizations,300.0,Other
24000,45,No,Yes, 0.8% + 2p,Professional Services and Membership Organizations,211.3066666666667,Other
10000,20,No,No, 1.69% + 0p,Clothing Stores,168.99999999999997,Other
25000,10,Yes,Yes, 0.75% + 2p,Miscellaneous Stores,249.00000000000003,Other
150000,40,Yes,Yes, 0.4% + 2.5p,Clothing Stores,884.0999999999999,Other
175000,50,No,Yes, 1% + 0p,Miscellaneous Stores,1750.0,Other
60000,20,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,364.32000000000005,Other
50000,90,No,Yes, 1.5% + 0p,Transportation Services,750.0,Other
75000,75,Yes,No, 0.39% + 3p,Retail Outlet Services,372.90000000000003,Other
400000,9,Yes,Yes, 0.4% + 2p,Miscellaneous Stores,2668.8888888888887,Other
20000,100,No,No, 1.69% + 0p,Professional Services and Membership Organizations,337.99999999999994,Other
1000,50,Yes,No, 1.69% + 0p,Business Services,16.9,Other
5000,40,No,No, 1.5% + 0p,Miscellaneous Stores,75.0,Other
100000,60,No,Yes, 0.55% + 2p,Miscellaneous Stores,625.3333333333335,Other
2000,10,No,No, 1.75% + 0p,Business Services,35.00000000000001,Other
1000,10,Yes,No, 1.69% + 0p,Miscellaneous Stores,16.9,Other
7000,30,No,No, 0.8% + 2p,Miscellaneous Stores,63.18666666666667,Other
15000,20,Yes,Yes, 1% + 0p,Miscellaneous Stores,150.0,Other
80000,20,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,485.76,Other
150000,80,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,742.0500000000001,Other
600000,80,Yes,Yes, 0.35% + 2p,Miscellaneous Stores,2519.9999999999995,Other
60000,30,Yes,No, 0.65% + 2p,Transportation Services,458.2,Other
150000,10,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1135.8000000000002,Other
10000,10,No,Yes, 1.69% + 0p,Miscellaneous Stores,168.99999999999997,Other
300000,15,No,Yes, 0.42% + 2p,Miscellaneous Stores,1791.9999999999998,Other
230000,20,Yes,Yes, 0.39% + 3p,Retail Outlet Services,1396.5600000000002,Other
27000,50,No,Yes, 0.8% + 2p,Miscellaneous Stores,236.52,Other
15000,200,No,Yes, 0.8% + 2p,Business Services,126.90000000000002,Other
500000,30,Yes,No, 0.4% + 2p,Miscellaneous Stores,2558.3333333333335,Other
50000,15,Yes,No, 0.8% + 2p,Miscellaneous Stores,484.66666666666674,Other
100000,35,Yes,No, 0.4% + 2.5p,Miscellaneous Stores,607.2571428571429,Other
7000,30,No,No, 1.69% + 0p,Miscellaneous Stores,118.29999999999998,Other
30000,90,Yes,No, 1% + 0p,Miscellaneous Stores,300.0,Other
700000,30,No,Yes, 1.69% + 0p,Retail Outlet Services,11829.999999999998,Other
10000,2000,Yes,No, 1.69% + 0p,Miscellaneous Stores,168.99999999999997,Other
400000,9,Yes,Yes, 0.42% + 2p,Miscellaneous Stores,2776.8888888888887,Other
3000,15,No,No, 0.8% + 2p,Miscellaneous Stores,29.080000000000005,Other
1200000,50,Yes,No, 0.28% + 2p,Miscellaneous Stores,4416.0,Other
50000,100,No,No, 0.8% + 2p,Professional Services and Membership Organizations,428.00000000000006,Other
350000,285,No,Yes, 0.4% + 3p,Business Services,1618.842105263158,Other
150000,150,Yes,No, 0.4% + 2.5p,Business Services,746.5999999999999,Other
200000,20,No,No, 0.4% + 2.5p,Miscellaneous Stores,1428.8,Other
200000,15,Yes,Yes, 0.4% + 2.5p,Miscellaneous Stores,1595.4666666666667,Other
15000,50,No,No, 0.75% + 2p,Miscellaneous Stores,125.39999999999999,Other
250000,100,Yes,Yes, 0.39% + 3p,Clothing Stores,1218.0,Other
364000,10,No,Yes, 0.42% + 2p,Miscellaneous Stores,2416.96,Other
100000,15,No,No, 0.8% + 2p,Miscellaneous Stores,969.3333333333335,Other
5000,1500,No,No, 1.75% + 0p,Miscellaneous Stores,87.50000000000001,Other
10000,10,Yes,No, 1.69% + 0p,Retail Outlet Services,168.99999999999997,Other
1000,20,Yes,No, 1.69% + 0p,Miscellaneous Stores,16.9,Other
450000,25,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,2597.4,Other
